Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,65700.000000,66800.000000,64000.000000,65000.000000,64631.207031,52863
2018-11-06,66100.000000,66700.000000,65000.000000,66300.000000,65923.828125,47493
2018-11-07,66300.000000,67200.000000,64400.000000,64600.000000,64233.476563,60230
2018-11-08,66200.000000,72200.000000,65200.000000,70000.000000,69602.835938,138227
2018-11-09,70000.000000,73800.000000,69300.000000,72700.000000,72287.515625,106966
2018-11-12,72000.000000,72700.000000,70000.000000,70900.000000,70497.726563,50891
2018-11-13,70000.000000,70900.000000,69000.000000,70200.000000,69801.703125,51369
2018-11-14,73200.000000,73200.000000,69200.000000,69900.000000,69503.406250,24041
2018-11-15,null,null,null,null,null,null
2018-11-16,70700.000000,71100.000000,69600.000000,70700.000000,70298.867188,15242
2018-11-19,70800.000000,71800.000000,69700.000000,71600.000000,71193.757813,36480
2018-11-20,71000.000000,72800.000000,69000.000000,72800.000000,72386.953125,53953
2018-11-21,72400.000000,79200.000000,71100.000000,77800.000000,77358.578125,151742
2018-11-22,78000.000000,79600.000000,76400.000000,79100.000000,78651.203125,59587
2018-11-23,78600.000000,79900.000000,77500.000000,78500.000000,78054.609375,40293
2018-11-26,78000.000000,80000.000000,78000.000000,79800.000000,79347.234375,48719
2018-11-27,79400.000000,79800.000000,77900.000000,78600.000000,78154.039063,21169
2018-11-28,79400.000000,80000.000000,78200.000000,78800.000000,78352.906250,25092
2018-11-29,79200.000000,79800.000000,76500.000000,78000.000000,77557.445313,42422
2018-11-30,78000.000000,78400.000000,76800.000000,77700.000000,77259.148438,36732
2018-12-03,78700.000000,79000.000000,77700.000000,78400.000000,77955.179688,36215
2018-12-04,77700.000000,78400.000000,75500.000000,76600.000000,76165.390625,57151
2018-12-05,75200.000000,77100.000000,74700.000000,75300.000000,74872.765625,39761
2018-12-06,76000.000000,76000.000000,73600.000000,73800.000000,73381.273438,34175
2018-12-07,73800.000000,74900.000000,71400.000000,72500.000000,72088.648438,39524
2018-12-10,71500.000000,73000.000000,71300.000000,72200.000000,71790.351563,30170
2018-12-11,72500.000000,72900.000000,69900.000000,69900.000000,69503.406250,38404
2018-12-12,70700.000000,73700.000000,70200.000000,73100.000000,72685.250000,47003
2018-12-13,73300.000000,75500.000000,72200.000000,73600.000000,73182.414063,82390
2018-12-14,73200.000000,74000.000000,70600.000000,71300.000000,70895.460938,31857
2018-12-17,70400.000000,72500.000000,70400.000000,71700.000000,71293.187500,19121
2018-12-18,71100.000000,72600.000000,70100.000000,70700.000000,70298.867188,29286
2018-12-19,70700.000000,74500.000000,70300.000000,73100.000000,72685.250000,33265
2018-12-20,73800.000000,73800.000000,71800.000000,72500.000000,72088.648438,17425
2018-12-21,71900.000000,73200.000000,71000.000000,72100.000000,71690.921875,22740
2018-12-24,72100.000000,72100.000000,70600.000000,71300.000000,70895.460938,17347
2018-12-26,70400.000000,71200.000000,68800.000000,70500.000000,70100.000000,33061
2018-12-27,70500.000000,72100.000000,69300.000000,69800.000000,69800.000000,21084
2018-12-28,69500.000000,71000.000000,69500.000000,70000.000000,70000.000000,20249
2019-01-02,69900.000000,70300.000000,69000.000000,69700.000000,69700.000000,19298
2019-01-03,69900.000000,70400.000000,68800.000000,69100.000000,69100.000000,21960
2019-01-04,69200.000000,69700.000000,66300.000000,66500.000000,66500.000000,66201
2019-01-07,66200.000000,67100.000000,66100.000000,66200.000000,66200.000000,48685
2019-01-08,66700.000000,67400.000000,66500.000000,66700.000000,66700.000000,18282
2019-01-09,66700.000000,68200.000000,66600.000000,67700.000000,67700.000000,27403
2019-01-10,67300.000000,68800.000000,67300.000000,68700.000000,68700.000000,19328
2019-01-11,68700.000000,68800.000000,67600.000000,67600.000000,67600.000000,32457
2019-01-14,67600.000000,68100.000000,66600.000000,66600.000000,66600.000000,27479
2019-01-15,67200.000000,67800.000000,64800.000000,65000.000000,65000.000000,58764
2019-01-16,65000.000000,65600.000000,63500.000000,64200.000000,64200.000000,74257
2019-01-17,64600.000000,64800.000000,63500.000000,63700.000000,63700.000000,52880
2019-01-18,63800.000000,64300.000000,63500.000000,64000.000000,64000.000000,36678
2019-01-21,64400.000000,66500.000000,64400.000000,65700.000000,65700.000000,47690
2019-01-22,66300.000000,67700.000000,66000.000000,67300.000000,67300.000000,47135
2019-01-23,67300.000000,67800.000000,66700.000000,67100.000000,67100.000000,25392
2019-01-24,67000.000000,67900.000000,66500.000000,67200.000000,67200.000000,35130
2019-01-25,67100.000000,68300.000000,66900.000000,67700.000000,67700.000000,35611
2019-01-28,67800.000000,68800.000000,67000.000000,68300.000000,68300.000000,54805
2019-01-29,68700.000000,69000.000000,67700.000000,67900.000000,67900.000000,29744
2019-01-30,68400.000000,68400.000000,67400.000000,68000.000000,68000.000000,29408
2019-01-31,68700.000000,69000.000000,67700.000000,68500.000000,68500.000000,35501
2019-02-01,68400.000000,68900.000000,67200.000000,67500.000000,67500.000000,38037
2019-02-07,67900.000000,67900.000000,66500.000000,66800.000000,66800.000000,40816
2019-02-08,67300.000000,72000.000000,67300.000000,70800.000000,70800.000000,143940
2019-02-11,71500.000000,71600.000000,70100.000000,71400.000000,71400.000000,54427
2019-02-12,71900.000000,73100.000000,70900.000000,72400.000000,72400.000000,88082
